HSC INFO
Wed Dec 31 17:25:02 2025
Description                       Ch1         Ch2         Ch3         Ch4         Ch5         Ch6         Ch7         Ch8 
MTAbsolute                          0           0           0           0           0           0           0           0 
PidAverage                          0           0           0           0           0           0           0           0 
Debug counter                       0           0           0           0           0           0           0           0 
**************************************************************
HSC INFO
Sun Jan  4 07:21:42 2026
Description                       Ch1         Ch2         Ch3         Ch4         Ch5         Ch6         Ch7         Ch8 
BissReceptionErrors                 0           0           0           0           0           0           0           0 
BissModeErrors                      0           0           0           0           0           0           0           0 
CycloneShutdowns                    0           0           0           0           0           0           0           0 
EstimatedBrakeWattage               0           0           0           0           0           0           0           0 
LoadMeter                           0           0           0           0           0           0           0           0 
FatalError                          0           0           0           0           0           0           0           0 
Warning                             0           0           0           0           0           0           0           0 
ErrorUVWInvalid                     0           0           0           0           0           0           0           0 
ErrorUVWBadTransition               0           0           0           0           0           0           0           0 
ErrorUVWBadSize                     0           0           0           0           0           0           0           0 
EncoderOk                           0           0           0           0           0           0           0           0 
QuadratureError                     0           0           0           0           0           0           0           0 
EncoderMismatch                     0           0           0           0           0           0           0           0 
LineVoltageOn                       0           0           0           0           0           0           0           0 
OvercurrrentHighSide                0           0           0           0           0           0           0           0 
OvercurrentLowSide                  0           0           0           0           0           0           0           0 
OvervoltageMotor                    0           0           0           0           0           0           0           0 
OvervoltageLine                     0           0           0           0           0           0           0           0 
BrakeResistorMissing                0           0           0           0           0           0           0           0 
BrakeIGBTOpen                       0           0           0           0           0           0           0           0 
MotorTemperatureSwitch              0           0           0           0           0           0           0           0 
HeatsinkTemperatureSwitch           0           0           0           0           0           0           0           0 
PlusLimit                           0           0           0           0           0           0           0           0 
MinusLimit                          0           0           0           0           0           0           0           0 
DriveShutdown                       0           0           0           0           0           0           0           0 
BrakeOnTooMuch                      0           0           0           0           0           0           0           0 
OvercurrentSensor                   0           0           0           0           0           0           0           0 
WarningDriveHot                     0           0           0           0           0           0           0           0 
ErrorDriveTooHot                    0           0           0           0           0           0           0           0 
WarningMotorHot                     0           0           0           0           0           0           0           0 
AccelTooGreat                       0           0           0           0           0           0           0           0 
ADCOffsetOk                         0           0           0           0           0           0           0           0 
ErrorMotorTooHot                    0           0           0           0           0           0           0           0 
MoveSyncRunning                     0           0           0           0           0           0           0           0 
StepRunning                         0           0           0           0           0           0           0           0 
TuneRunning                         0           0           0           0           0           0           0           0 
ErrorParameterChange                0           0           0           0           0           0           0           0 
CommutationZone                     0           0           0           0           0           0           0           0 
DrivePower                          0           0           0           0           0           0           0           0 
EncoderType                         0           0           0           0           0           0           0           0 
EstimatedDriveTemperature        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00 
EstimatedMotorTemperature        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00 
PositionErrorSum                    0           0           0           0           0           0           0           0 
MTAbsolute                          0           0           0           0           0           0           0           0 
PidAverage                          0           0           0           0           0           0           0           0 
Debug counter                       0           0           0           0           0           0           0           0 
**************************************************************
HSC INFO
Mon Jan  5 07:56:28 2026
Description                       Ch1         Ch2         Ch3         Ch4         Ch5         Ch6         Ch7         Ch8 
BissReceptionErrors                 0           0           0           0           0           0           0           0 
BissModeErrors                      0           0           0           0           0           0           0           0 
CycloneShutdowns                    0           0           0           0           0           0           0           0 
EstimatedBrakeWattage               0           0           0           0           0           0           0           0 
LoadMeter                           0           0           0           0           0           0           0           0 
FatalError                          0           0           0           0           0           0           0           0 
Warning                             0           0           0           0           0           0           0           0 
ErrorUVWInvalid                     0           0           0           0           0           0           0           0 
ErrorUVWBadTransition               0           0           0           0           0           0           0           0 
ErrorUVWBadSize                     0           0           0           0           0           0           0           0 
EncoderOk                           0           0           0           0           0           0           0           0 
QuadratureError                     0           0           0           0           0           0           0           0 
EncoderMismatch                     0           0           0           0           0           0           0           0 
LineVoltageOn                       0           0           0           0           0           0           0           0 
OvercurrrentHighSide                0           0           0           0           0           0           0           0 
OvercurrentLowSide                  0           0           0           0           0           0           0           0 
OvervoltageMotor                    0           0           0           0           0           0           0           0 
OvervoltageLine                     0           0           0           0           0           0           0           0 
BrakeResistorMissing                0           0           0           0           0           0           0           0 
BrakeIGBTOpen                       0           0           0           0           0           0           0           0 
MotorTemperatureSwitch              0           0           0           0           0           0           0           0 
HeatsinkTemperatureSwitch           0           0           0           0           0           0           0           0 
PlusLimit                           0           0           0           0           0           0           0           0 
MinusLimit                          0           0           0           0           0           0           0           0 
DriveShutdown                       0           0           0           0           0           0           0           0 
BrakeOnTooMuch                      0           0           0           0           0           0           0           0 
OvercurrentSensor                   0           0           0           0           0           0           0           0 
WarningDriveHot                     0           0           0           0           0           0           0           0 
ErrorDriveTooHot                    0           0           0           0           0           0           0           0 
WarningMotorHot                     0           0           0           0           0           0           0           0 
AccelTooGreat                       0           0           0           0           0           0           0           0 
ADCOffsetOk                         0           0           0           0           0           0           0           0 
ErrorMotorTooHot                    0           0           0           0           0           0           0           0 
MoveSyncRunning                     0           0           0           0           0           0           0           0 
StepRunning                         0           0           0           0           0           0           0           0 
TuneRunning                         0           0           0           0           0           0           0           0 
ErrorParameterChange                0           0           0           0           0           0           0           0 
CommutationZone                     0           0           0           0           0           0           0           0 
DrivePower                          0           0           0           0           0           0           0           0 
EncoderType                         0           0           0           0           0           0           0           0 
EstimatedDriveTemperature        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00 
EstimatedMotorTemperature        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00 
PositionErrorSum                    0           0           0           0           0           0           0           0 
MTAbsolute                          0           0           0           0           0           0           0           0 
PidAverage                          0           0           0           0           0           0           0           0 
Debug counter                       0           0           0           0           0           0           0           0 
**************************************************************
HSC INFO
Tue Jan  6 07:18:28 2026
Description                       Ch1         Ch2         Ch3         Ch4         Ch5         Ch6         Ch7         Ch8 
BissReceptionErrors                 0           0           0           0           0           0           0           0 
BissModeErrors                      0           0           0           0           0           0           0           0 
CycloneShutdowns                    0           0           0           0           0           0           0           0 
EstimatedBrakeWattage               0           0           0           0           0           0           0           0 
LoadMeter                           0           0           0           0           0           0           0           0 
FatalError                          0           0           0           0           0           0           0           0 
Warning                             0           0           0           0           0           0           0           0 
ErrorUVWInvalid                     0           0           0           0           0           0           0           0 
ErrorUVWBadTransition               0           0           0           0           0           0           0           0 
ErrorUVWBadSize                     0           0           0           0           0           0           0           0 
EncoderOk                           0           0           0           0           0           0           0           0 
QuadratureError                     0           0           0           0           0           0           0           0 
EncoderMismatch                     0           0           0           0           0           0           0           0 
LineVoltageOn                       0           0           0           0           0           0           0           0 
OvercurrrentHighSide                0           0           0           0           0           0           0           0 
OvercurrentLowSide                  0           0           0           0           0           0           0           0 
OvervoltageMotor                    0           0           0           0           0           0           0           0 
OvervoltageLine                     0           0           0           0           0           0           0           0 
BrakeResistorMissing                0           0           0           0           0           0           0           0 
BrakeIGBTOpen                       0           0           0           0           0           0           0           0 
MotorTemperatureSwitch              0           0           0           0           0           0           0           0 
HeatsinkTemperatureSwitch           0           0           0           0           0           0           0           0 
PlusLimit                           0           0           0           0           0           0           0           0 
MinusLimit                          0           0           0           0           0           0           0           0 
DriveShutdown                       0           0           0           0           0           0           0           0 
BrakeOnTooMuch                      0           0           0           0           0           0           0           0 
OvercurrentSensor                   0           0           0           0           0           0           0           0 
WarningDriveHot                     0           0           0           0           0           0           0           0 
ErrorDriveTooHot                    0           0           0           0           0           0           0           0 
WarningMotorHot                     0           0           0           0           0           0           0           0 
AccelTooGreat                       0           0           0           0           0           0           0           0 
ADCOffsetOk                         0           0           0           0           0           0           0           0 
ErrorMotorTooHot                    0           0           0           0           0           0           0           0 
MoveSyncRunning                     0           0           0           0           0           0           0           0 
StepRunning                         0           0           0           0           0           0           0           0 
TuneRunning                         0           0           0           0           0           0           0           0 
ErrorParameterChange                0           0           0           0           0           0           0           0 
CommutationZone                     0           0           0           0           0           0           0           0 
DrivePower                          0           0           0           0           0           0           0           0 
EncoderType                         0           0           0           0           0           0           0           0 
EstimatedDriveTemperature        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00 
EstimatedMotorTemperature        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00 
PositionErrorSum                    0           0           0           0           0           0           0           0 
MTAbsolute                          0           0           0           0           0           0           0           0 
PidAverage                          0           0           0           0           0           0           0           0 
Debug counter                       0           0           0           0           0           0           0           0 
**************************************************************
HSC INFO
Wed Jan  7 07:33:20 2026
Description                       Ch1         Ch2         Ch3         Ch4         Ch5         Ch6         Ch7         Ch8 
BissReceptionErrors                 0           0           0           0           0           0           0           0 
BissModeErrors                      0           0           0           0           0           0           0           0 
CycloneShutdowns                    0           0           0           0           0           0           0           0 
EstimatedBrakeWattage               0           0           0           0           0           0           0           0 
LoadMeter                           0           0           0           0           0           0           0           0 
FatalError                          0           0           0           0           0           0           0           0 
Warning                             0           0           0           0           0           0           0           0 
ErrorUVWInvalid                     0           0           0           0           0           0           0           0 
ErrorUVWBadTransition               0           0           0           0           0           0           0           0 
ErrorUVWBadSize                     0           0           0           0           0           0           0           0 
EncoderOk                           0           0           0           0           0           0           0           0 
QuadratureError                     0           0           0           0           0           0           0           0 
EncoderMismatch                     0           0           0           0           0           0           0           0 
LineVoltageOn                       0           0           0           0           0           0           0           0 
OvercurrrentHighSide                0           0           0           0           0           0           0           0 
OvercurrentLowSide                  0           0           0           0           0           0           0           0 
OvervoltageMotor                    0           0           0           0           0           0           0           0 
OvervoltageLine                     0           0           0           0           0           0           0           0 
BrakeResistorMissing                0           0           0           0           0           0           0           0 
BrakeIGBTOpen                       0           0           0           0           0           0           0           0 
MotorTemperatureSwitch              0           0           0           0           0           0           0           0 
HeatsinkTemperatureSwitch           0           0           0           0           0           0           0           0 
PlusLimit                           0           0           0           0           0           0           0           0 
MinusLimit                          0           0           0           0           0           0           0           0 
DriveShutdown                       0           0           0           0           0           0           0           0 
BrakeOnTooMuch                      0           0           0           0           0           0           0           0 
OvercurrentSensor                   0           0           0           0           0           0           0           0 
WarningDriveHot                     0           0           0           0           0           0           0           0 
ErrorDriveTooHot                    0           0           0           0           0           0           0           0 
WarningMotorHot                     0           0           0           0           0           0           0           0 
AccelTooGreat                       0           0           0           0           0           0           0           0 
ADCOffsetOk                         0           0           0           0           0           0           0           0 
ErrorMotorTooHot                    0           0           0           0           0           0           0           0 
MoveSyncRunning                     0           0           0           0           0           0           0           0 
StepRunning                         0           0           0           0           0           0           0           0 
TuneRunning                         0           0           0           0           0           0           0           0 
ErrorParameterChange                0           0           0           0           0           0           0           0 
CommutationZone                     0           0           0           0           0           0           0           0 
DrivePower                          0           0           0           0           0           0           0           0 
EncoderType                         0           0           0           0           0           0           0           0 
EstimatedDriveTemperature        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00 
EstimatedMotorTemperature        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00 
PositionErrorSum                    0           0           0           0           0           0           0           0 
MTAbsolute                          0           0           0           0           0           0           0           0 
PidAverage                          0           0           0           0           0           0           0           0 
Debug counter                       0           0           0           0           0           0           0           0 
**************************************************************
HSC INFO
Wed Jan  7 14:40:36 2026
Description                       Ch1         Ch2         Ch3         Ch4         Ch5         Ch6         Ch7         Ch8 
BissReceptionErrors                 0           0           0           0           0           0           0           0 
BissModeErrors                      0           0           0           0           0           0           0           0 
CycloneShutdowns                    0           0           0           0           0           0           0           0 
EstimatedBrakeWattage               0           0           0           0           0           0           0           0 
LoadMeter                           0           0           0           0           0           0           0           0 
FatalError                          0           0           0           0           0           0           0           0 
Warning                             0           0           0           0           0           0           0           0 
ErrorUVWInvalid                     0           0           0           0           0           0           0           0 
ErrorUVWBadTransition               0           0           0           0           0           0           0           0 
ErrorUVWBadSize                     0           0           0           0           0           0           0           0 
EncoderOk                           0           0           0           0           0           0           0           0 
QuadratureError                     0           0           0           0           0           0           0           0 
EncoderMismatch                     0           0           0           0           0           0           0           0 
LineVoltageOn                       0           0           0           0           0           0           0           0 
OvercurrrentHighSide                0           0           0           0           0           0           0           0 
OvercurrentLowSide                  0           0           0           0           0           0           0           0 
OvervoltageMotor                    0           0           0           0           0           0           0           0 
OvervoltageLine                     0           0           0           0           0           0           0           0 
BrakeResistorMissing                0           0           0           0           0           0           0           0 
BrakeIGBTOpen                       0           0           0           0           0           0           0           0 
MotorTemperatureSwitch              0           0           0           0           0           0           0           0 
HeatsinkTemperatureSwitch           0           0           0           0           0           0           0           0 
PlusLimit                           0           0           0           0           0           0           0           0 
MinusLimit                          0           0           0           0           0           0           0           0 
DriveShutdown                       0           0           0           0           0           0           0           0 
BrakeOnTooMuch                      0           0           0           0           0           0           0           0 
OvercurrentSensor                   0           0           0           0           0           0           0           0 
WarningDriveHot                     0           0           0           0           0           0           0           0 
ErrorDriveTooHot                    0           0           0           0           0           0           0           0 
WarningMotorHot                     0           0           0           0           0           0           0           0 
AccelTooGreat                       0           0           0           0           0           0           0           0 
ADCOffsetOk                         0           0           0           0           0           0           0           0 
ErrorMotorTooHot                    0           0           0           0           0           0           0           0 
MoveSyncRunning                     0           0           0           0           0           0           0           0 
StepRunning                         0           0           0           0           0           0           0           0 
TuneRunning                         0           0           0           0           0           0           0           0 
ErrorParameterChange                0           0           0           0           0           0           0           0 
CommutationZone                     0           0           0           0           0           0           0           0 
DrivePower                          0           0           0           0           0           0           0           0 
EncoderType                         0           0           0           0           0           0           0           0 
EstimatedDriveTemperature        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00 
EstimatedMotorTemperature        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00 
PositionErrorSum                    0           0           0           0           0           0           0           0 
MTAbsolute                          0           0           0           0           0           0           0           0 
PidAverage                          0           0           0           0           0           0           0           0 
Debug counter                       0           0           0           0           0           0           0           0 
